id	name	region	settlement_population_min_ad200	settlement_population_max_ad200	population_ad200	population_ad725
1	satsuma	2	4	20	1135	38400
2	osumi	2	4	20	1200	40600
3	hyuga	2	4	20	910	30800
4	higo	2	4	20	3213	108700
5	bungo	3	4	20	613	51600
6	chikugo	3	4	20	705	59300
7	hizen	3	4	20	574	48300
8	chikuzen	3	4	20	1332	112000
9	buzen	3	4	20	561	47200
10	iki	3	4	20	144	12100
11	tsushima	3	4	20	117	9900
12	nagato	5	4	20	488	43900
13	suo	5	4	20	549	49400
14	aki	5	4	20	770	69200
15	bingo	5	4	20	794	71400
16	bitchu	5	4	20	880	79100
17	mimasaka	5	4	20	782	70300
18	bizen	5	4	20	623	56000
19	harima	7	4	20	1179	107600
20	iwami	6	4	20	205	40600
21	izumo	6	4	20	433	85700
22	hoki	6	4	20	266	52700
23	oki	6	4	20	66	13200
24	inaba	6	4	20	277	54900
25	tajima	6	4	20	327	64800
26	tango	6	4	20	194	38400
27	tanba	7	4	20	818	74700
28	iyo	4	4	20	863	79100
29	tosa	4	4	20	515	47200
30	awa	4	4	20	551	50500
31	sanuki	4	4	20	1079	98800
32	awaji	7	4	20	204	18700
33	kii	7	4	20	673	61500
34	yamato	8	4	20	1133	171700
35	kawachi	8	4	20	580	87900
36	yamashiro	8	4	20	565	85700
37	izumi	8	4	20	174	26400
38	settsu	8	4	20	565	85700
39	wakasa	11	4	20	189	23100
40	echizen	11	4	20	495	60400
41	kaga	11	4	20	269	32900
42	etchu	11	4	20	377	46100
43	noto	11	4	20	234	28600
44	echigo	11	4	20	305	37300
45	sado	11	4	20	198	24200
46	shima	7	4	20	1687	154000
47	ise	7	4	20	1130	103200
48	iga	7	4	20	216	19800
49	owari	9	4	20	843	75800
50	mikawa	9	4	20	843	75800
51	totomi	9	4	20	1173	105400
52	suruga	9	4	20	721	64800
53	izu	9	4	20	257	23100
54	kai	10	4	20	2373	34000
55	sagami	12	4	20	1039	73600
56	musashi	12	4	20	1845	130700
57	shimosa	12	4	20	1410	99900
58	kazusa	12	4	20	1179	83500
59	awa1	12	4	20	495	35100
60	hitachi	13	4	20	1849	168000
61	omi	7	4	20	1118	102100
62	mino	9	4	20	1601	143900
63	hida	10	4	20	998	14300
64	shinano	10	4	20	5138	73600
65	kozuke	13	4	20	1233	112000
66	shimotsuke	13	4	20	846	76900
67	mutsu	15	4	20	2870	206500
68	dewa	14	4	20	470	78000
69	ezo_honshu	15	4	20	1000	0
70	ezo_hokkaido	16	4	20	15000	0
71	ezo_chishima	16	4	20	1000	0
72	ezo_karafuto	16	4	20	5000	0
73	null1	0	4	20	0	0
74	null2	0	4	20	0	0
75	null3	0	4	20	0	0
76	null4	0	4	20	0	0
77	null5	0	4	20	0	0
78	null6	0	4	20	0	0
79	null7	0	4	20	0	0
80	null8	0	4	20	0	0
81	null9	0	4	20	0	0
82	null10	0	4	20	0	0
83	null11	0	4	20	0	0
84	null12	0	4	20	0	0
85	null13	0	4	20	50000	0
86	null14	0	4	20	2000	0
87	null15	0	4	20	0	0
88	ogasawara	1	4	20	0	0
89	izu1	1	4	20	1000	0
90	ryukyu	1	4	20	2000	0
